"mt.MT","Arbutus-Ridge ","Downtown ","Dunbar-Southlands ","Fairview ","Grandview-Woodland ","Hastings-Sunrise ","Kensington-Cedar Cottage ","Kerrisdale ","Killarney ","Kitsilano ","Marpole ","Mount Pleasant ","Oakridge ","Renfrew-Collingwood ","Riley Park ","Shaughnessy ","South Cambie ","Strathcona ","Sunset ","Vancouver CMA ","Vancouver CSD ","Victoria-Fraserview","West End ","West Point Grey "
"              Tahltan languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Swedish","5","40","5","15","10","5","5","5","0","25","5","15","0","5","5","0","10","0","5","570","200","5","35","5"
"              Swampy Cree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","0","0"
"              Spanish","60","915","90","315","320","330","390","60","305","420","160","280","45","475","120","35","60","115","285","17615","6040","215","985","85"
"              Southern East Cree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Somali","5","10","0","0","5","10","5","0","0","0","5","15","0","10","0","0","0","5","5","575","70","0","0","0"
"              Slavic languages","105","1360","130","500","260","215","255","75","300","440","290","335","100","335","135","35","55","85","105","26670","6565","120","1215","115"
"              Slavey-Hare languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Semitic languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","5","0","0","0"
"              Sekani","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"              Scottish Gaelic","0","0","0","5","0","0","5","0","0","0","5","0","0","0","0","0","0","0","0","65","25","0","10","0"
"              Sarsi (Sarcee)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Romanian","5","80","10","50","20","5","25","10","30","50","45","20","20","10","0","0","0","5","15","3480","560","5","135","15"
"              Portuguese","10","300","10","90","95","125","240","15","70","90","50","60","35","360","40","5","20","10","80","5650","2260","80","450","20"
"              Plains Cree","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","15","10","0","0","0"
"              Ottawa (Odawa)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Oromo","0","15","0","0","5","5","0","0","0","0","5","5","0","5","0","0","0","5","10","95","45","5","0","0"
"              Ojibway","0","10","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","5","0","25","15","0","0","0"
"              Oji-Cree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Norwegian","0","20","5","10","5","0","0","0","5","10","5","5","0","5","0","0","0","0","0","410","85","0","15","5"
"              Northern East Cree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"              Naskapi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Moose Cree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Montagnais (Innu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Min Nan (Chaochow, Teochow, Fukien, Taiwanese)","80","75","75","30","15","55","60","65","65","30","145","40","100","120","70","40","35","10","70","4755","1300","70","40","15"
"              Min Dong","0","0","0","0","0","5","0","0","10","0","5","5","0","5","0","0","0","0","5","105","40","0","0","0"
"              Mi'kmaq","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"              Mandarin","1555","1455","1510","410","145","460","600","1290","905","495","1750","290","1245","1360","385","775","255","200","590","79285","17520","655","430","780"
"              Maltese","0","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","35","10","0","0","0"
"              Malecite","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Karenic languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","370","0","0","0","0"
"              Kabyle","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","25","5","0","0","0"
"              Italic (Romance) languages, n.i.e.","0","0","0","0","5","5","0","0","0","0","0","5","0","0","0","0","0","5","0","35","20","5","0","0"
"              Italian","45","170","30","80","230","605","165","20","55","125","40","65","10","295","50","15","15","30","35","7735","2320","90","140","25"
"              Iranian languages","65","1730","55","200","75","95","80","35","90","170","95","125","45","115","30","35","35","35","120","22075","4175","40","830","85"
"              Indo-Iranian languages, n.i.e.","0","5","5","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","5","180","25","0","0","0"
"              Indo-Aryan languages","40","485","70","100","105","220","815","95","525","140","230","165","205","990","255","70","40","40","4205","97680","10200","1040","300","60"
"              Icelandic","0","5","0","10","5","10","5","0","0","5","0","5","0","0","0","0","0","0","0","70","40","0","0","0"
"              Hebrew","25","65","25","60","15","10","20","10","10","50","20","35","20","5","45","20","35","5","20","965","550","0","45","10"
"              Harari","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"              Hakka","5","10","5","0","5","30","35","10","20","5","25","5","20","70","5","5","0","5","30","955","340","35","5","5"
"              Gwich'in","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","5","0","0","0"
"              Germanic languages, n.i.e.","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","20","5","0","0","0"
"              German","60","370","155","195","130","65","145","60","70","365","60","150","30","105","105","25","25","55","160","11340","2875","70","385","100"
"              Frisian","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0"
"              Dutch","25","110","30","50","35","20","25","10","20","75","15","40","5","15","25","5","10","15","15","3600","685","10","95","30"
"              Dogrib (Tlicho)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"              Dene","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"              Danish","5","25","10","15","15","5","10","5","5","30","5","15","5","0","10","5","0","5","0","1020","195","5","20","5"
"              Cushitic languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"              Cree, n.o.s.","0","15","0","5","5","0","0","0","0","0","0","10","0","0","0","0","0","10","0","70","50","0","0","0"
"              Chinese, n.o.s.","55","175","35","30","40","125","140","45","90","25","65","40","55","180","65","30","20","50","95","3835","1530","115","35","25"
"              Chinese languages, n.i.e.","5","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","80","20","0","0","0"
"              Chilcotin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","15","15","0","0","0"
"              Chaldean Neo-Aramaic","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","240","5","0","0","0"
"              Celtic languages, n.i.e.","0","5","0","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","40","25","0","5","0"
