Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Net Intraprovincial,Net Total Migration
2018-2019,5940,Kootenay,501,203,99,117,404,684,3101,1928,1173,355,2212
2018-2019,5950,Cariboo,417,78,30,46,753,1076,1366,1306,60,334,1470
2018-2019,5960,North Coast,112,23,18,13,233,327,608,406,202,-219,310
2018-2019,5970,Nechako,105,22,14,13,12,96,436,346,90,-221,-35
2018-2019,5980,Northeast,325,63,47,36,167,440,1132,1402,-270,-383,-213
2019-2020,5900,British Columbia,44805,7487,8457,3058,213,42930,60584,43585,16999,0,59929
2019-2020,5910,Vancouver Island/Coast,2914,904,1148,383,-934,1841,13448,7261,6187,5489,13517
2019-2020,5920,Mainland/Southwest,38631,5767,6411,2342,142,37075,29895,24230,5665,-8949,33791
2019-2020,5930,Thompson/Okanagan,1824,401,615,164,723,2597,10358,6540,3818,4096,10511
2019-2020,5940,Kootenay,419,176,133,73,-235,68,3153,2006,1147,331,1546
2019-2020,5950,Cariboo,458,105,75,42,403,789,1422,1434,-12,111,888
2019-2020,5960,North Coast,117,28,15,11,229,322,660,423,237,-105,454
2019-2020,5970,Nechako,106,50,24,20,1,61,457,350,107,-320,-152
2019-2020,5980,Northeast,336,56,36,23,-116,177,1191,1341,-150,-653,-626
2020-2021,5900,British Columbia,34385,5967,1280,1060,-7031,21607,70856,36579,34277,0,55884
2020-2021,5910,Vancouver Island/Coast,2381,733,157,113,-1667,25,15481,6267,9214,5693,14932
2020-2021,5920,Mainland/Southwest,29575,4587,992,831,-4785,20364,34843,20080,14763,-9438,25689
2020-2021,5930,Thompson/Okanagan,1376,319,89,58,-237,851,12360,5569,6791,4424,12066
2020-2021,5940,Kootenay,343,141,19,25,-377,-181,3797,1741,2056,369,2244
2020-2021,5950,Cariboo,285,82,11,16,-309,-111,1706,1170,536,42,467
2020-2021,5960,North Coast,110,22,2,3,151,238,795,354,441,-212,467
2020-2021,5970,Nechako,71,40,4,7,182,210,504,283,221,-215,216
2020-2021,5980,Northeast,244,43,6,7,11,211,1370,1115,255,-663,-197
